timestamp,latitude,longitude,heartRate,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magnetoX,magnetoY,magnetoZ
1706815879113,0.0,0.0,71.0,3.181894,-10.378864,1.9512744,-34.98,16.32,1.3199999,-1.7971655,0.34574974,0.40561453
1706815880234,0.0,0.0,72.0,2.8634653,-9.279925,-1.0031705,-30.24,22.08,23.34,-0.20891592,-0.073303826,-0.012217305
1706815881354,0.0,0.0,73.0,3.086126,-9.153033,0.5626374,-30.84,22.439999,24.539999,-0.15027285,0.008552114,0.030543262
1706815882473,0.0,0.0,76.0,3.1651347,-8.774749,1.5634137,-30.96,24.24,19.02,0.09407325,-0.039095376,-0.03176499
1706815883516,0.0,0.0,79.0,2.8682537,-9.260772,0.90740246,-30.119999,25.14,19.8,-0.172264,-0.015882496,0.06352998
1706815884553,0.0,0.0,79.0,2.719813,-9.02614,0.031124622,-29.88,24.9,22.14,-0.27122417,0.010995574,0.15027285
1706815885676,0.0,0.0,78.0,2.4995465,-10.187328,0.93134445,-29.82,24.06,23.58,-0.5143485,0.18692477,0.0012217305
1706815886793,0.0,0.0,77.0,2.4277205,-9.263166,1.70946,-29.519999,22.439999,25.68,0.12339478,-0.14172074,0.20280726
1706815887913,0.0,0.0,75.0,1.2761095,-9.557653,1.5298948,-23.88,30.42,19.56,-0.04642576,-0.014660766,0.047647487
1706815889034,0.0,0.0,73.0,2.516306,-2.8107927,8.9519205,-28.08,28.5,-0.65999997,0.41172317,0.042760566,-0.19425514
1706815890153,0.0,0.0,74.0,2.2649148,-3.9217024,8.561666,-28.439999,18.779999,-19.199999,-0.35185838,-0.04642576,0.15027285
1706815891275,0.0,0.0,76.0,2.3319526,-4.0222588,8.669404,-28.56,21.779999,-17.279999,-0.004886922,-0.0012217305,-0.002443461
1706815892393,0.0,0.0,78.0,2.2266076,-4.110844,8.640674,-28.32,21.84,-16.38,0.002443461,0.0036651916,0.004886922
1706815893515,0.0,0.0,76.0,2.2744915,-4.2281604,8.537724,-28.199999,22.619999,-16.14,-0.009773844,-0.0036651916,0.014660766
1706815894632,0.0,0.0,80.0,2.303222,-4.27365,8.513782,-28.859999,22.68,-15.839999,-0.004886922,-0.002443461,0.008552114
1706815895755,0.0,0.0,79.0,2.3630772,-4.2784386,8.635885,-28.74,22.26,-15.839999,0.0012217305,-0.0036651916,0.0
1706815896871,0.0,0.0,78.0,2.3008277,-4.3358994,8.470686,-29.34,22.859999,-15.96,0.013439035,0.007330383,-0.019547688
1706815897995,0.0,0.0,77.0,2.315193,-4.331111,8.537724,-28.98,21.96,-15.36,0.007330383,0.008552114,-0.004886922
1706815899115,0.0,0.0,77.0,2.3511062,-4.3526587,8.556877,-29.099998,21.6,-16.08,0.004886922,0.002443461,0.0012217305
1706815900237,0.0,0.0,75.0,2.303222,-4.3167458,8.532935,-28.68,23.46,-15.0,-0.0036651916,-0.0012217305,0.0061086523
1706815901355,0.0,0.0,74.0,2.3319526,-4.2784386,8.556877,-28.68,22.08,-15.299999,0.004886922,0.0012217305,-0.010995574
1706815902477,0.0,0.0,73.0,2.3774424,-4.295198,8.573636,-28.5,22.32,-14.16,0.0012217305,0.0012217305,-0.002443461
1706815903520,0.0,0.0,75.0,2.3774424,-4.268862,8.446744,-28.5,22.32,-15.719999,0.002443461,0.0,0.0
1706815904557,0.0,0.0,72.0,2.2864625,-4.2640734,8.516175,-29.64,21.6,-15.42,-0.002443461,0.0,0.0012217305
1706815905678,0.0,0.0,70.0,2.3199813,-4.2281604,8.585608,-28.92,22.5,-14.88,0.0012217305,-0.002443461,-0.002443461
1706815906797,0.0,0.0,69.0,2.3439236,-4.2042184,8.6095495,-28.08,20.88,-13.44,-0.0012217305,0.0012217305,0.0012217305
1706815907919,0.0,0.0,67.0,2.432509,-4.4699745,8.439561,-29.099998,22.26,-14.28,0.007330383,0.0036651916,0.0012217305
1706815909038,0.0,0.0,68.0,2.396596,-4.378995,8.456321,-27.48,22.68,-14.219999,-0.0036651916,-0.009773844,0.012217305
1706815910159,0.0,0.0,66.0,2.4349031,-4.405331,8.468291,-29.4,22.8,-14.88,0.019547688,0.0061086523,-0.02321288
1706815911279,0.0,0.0,65.0,2.420538,-4.3861775,8.470686,-29.699999,22.56,-15.24,-0.0061086523,-0.0012217305,0.0061086523
1706815912398,0.0,0.0,65.0,2.4372973,-4.390966,8.446744,-28.859999,22.859999,-15.54,0.002443461,0.002443461,0.002443461
1706815913515,0.0,0.0,64.0,2.456451,-4.3885717,8.475474,-28.98,22.32,-15.299999,0.0,-0.0012217305,0.0036651916
